ID,Name,Description (Short),Name (Chinese),Description (Chinese Short)
fairywind,Fairy Wind,No additional effect.,妖精之风,刮起妖精之风，吹向对手进行攻击。
fakeout,Fake Out,Hits first. First turn out only. 100% flinch chance.,击掌奇袭,进行先制攻击，100%几率令对手畏缩。要在出场后立刻使出才能成功。
faketears,Fake Tears,Lowers the target's Sp. Def by 2.,假哭,装哭流泪。使对手不知所措，100%几率降低对手的特防2级。
falsesurrender,False Surrender,This move does not check accuracy.,假跪真撞,装作低头认错的样子，用凌乱的头发进行突刺。攻击必定会命中。
falseswipe,False Swipe,Always leaves the target with at least 1 HP.,点到为止,对手的ＨＰ至少会留下１ＨＰ，如此般手下留情地攻击。
featherdance,Feather Dance,Lowers the target's Attack by 2.,羽毛舞,撒出羽毛，笼罩在对手的周围。100%几率降低对手的攻击2级。
feint,Feint,"Nullifies Detect, Protect, and Quick/Wide Guard.",佯攻,能够攻击正在使用守住或看穿等招式的对手。解除其守护效果。
feintattack,Feint Attack,This move does not check accuracy.,出奇一击,悄悄地靠近对手，趁其不备进行殴打。攻击必定会命中。
fellstinger,Fell Stinger,Raises user's Attack by 3 if this KOes the target.,致命针刺,如果使用此招式击倒目标，攻击会提升3级。
fierydance,Fiery Dance,50% chance to raise the user's Sp. Atk by 1.,火之舞,让火焰覆盖全身，振翅攻击对手。50%几率提高自己的特攻1级。
fierywrath,Fiery Wrath,20% chance to flinch the foe(s).,怒火中烧,将愤怒转化为火焰般的气场进行攻击。20%几率使对手畏缩。
finalgambit,Final Gambit,Does damage equal to the user's HP. User faints.,搏命,拼命攻击对手。自身陷入濒死，给予对手和自己目前ＨＰ等量的伤害。
fireblast,Fire Blast,10% chance to burn the target.,大字爆炎,用大字形状的火焰烧尽对手。10%几率让对手陷入灼伤状态。
firefang,Fire Fang,10% chance to burn. 10% chance to flinch.,火焰牙,用覆盖着火焰的牙齿咬住对手。10%几率使对手畏缩或陷入灼伤状态。
firelash,Fire Lash,100% chance to lower the target's Defense by 1.,火焰鞭,用燃烧的鞭子抽打对手。100%几率降低对手防御1级。
firepledge,Fire Pledge,Use with Grass or Water Pledge for added effect.,火之誓约,用火柱进行攻击。如果与水之誓约或草之誓约混合使用，效果更佳。
firepunch,Fire Punch,10% chance to burn the target.,火焰拳,用充满火焰的拳头攻击对手。10%几率让对手陷入灼伤状态。
firespin,Fire Spin,Traps and damages the target for 4-5 turns.,火焰旋涡,将对手困在激烈的火焰旋涡中，100%几率使目标束缚４~５回合。
firstimpression,First Impression,Hits first. First turn out only.,迎头一击,威力很高的招式，但只有在出场战斗时，立刻使出才能成功。
fishiousrend,Fishious Rend,Power doubles if user moves before the target.,鳃咬,用坚硬的腮咬住对手。如果比对手先出手攻击，招式的威力会变成２倍。
fissure,Fissure,OHKOs the target. Fails if user is a lower level.,地裂,让对手掉落于地裂的裂缝中进行攻击。只要命中就会一击濒死。
flail,Flail,More power the less HP the user has left.,抓狂,抓狂般乱打进行攻击。自己的ＨＰ越少，招式的威力越大。
flameburst,Flame Burst,Damages Pokemon next to the target as well.,烈焰溅射,如果击中，爆裂的火焰会攻击到对手。爆裂出的火焰还会飞溅到旁边的对手。
flamecharge,Flame Charge,100% chance to raise the user's Speed by 1.,蓄能焰袭,让火焰覆盖全身，攻击对手。100%几率提高自己的速度1级。
flamewheel,Flame Wheel,10% chance to burn the target. Thaws user.,火焰轮,让火焰覆盖全身，猛撞向对手进行攻击。10%几率让对手陷入灼伤状态。
flamethrower,Flamethrower,10% chance to burn the target.,喷射火焰,向对手发射烈焰进行攻击。10%几率让对手陷入灼伤状态。
flareblitz,Flare Blitz,Has 33% recoil. 10% chance to burn. Thaws user.,闪焰冲锋,让火焰覆盖全身猛撞向对手。自己也会受到33%的伤害。有10%几率让对手陷入灼伤状态。
flash,Flash,Lowers the target's accuracy by 1.,闪光,使出耀眼光芒，100%几率降低对手的命中率1级。
flashcannon,Flash Cannon,10% chance to lower the target's Sp. Def by 1.,加农光炮,将身体的光芒聚集在一点释放出去。10%几率降低对手的特防1级。
flatter,Flatter,Raises the target's Sp. Atk by 1 and confuses it.,吹捧,吹捧对手，使其混乱。同时还会提高对手的特攻1级。
fleurcannon,Fleur Cannon,Lowers the user's Sp. Atk by 2.,花朵加农炮,放出强力光束后，自己的特攻会降低2级。
fling,Fling,Flings the user's item at the target. Power varies.,投掷,快速投掷携带的道具进行攻击。根据道具不同，威力和效果会改变。
flipturn,Flip Turn,User switches out after damaging the target.,快速折返,在攻击之后急速返回，和后备宝可梦进行替换。
floatyfall,Floaty Fall,30% chance to flinch the target.,飘飘坠落,轻飘飘地浮起来后，再猛地俯冲下去进行攻击。有30%几率会使对手畏缩。
floralhealing,Floral Healing,Heals the target by 50% of its max HP.,花疗,回复目标最大ＨＰ的一半。在青草场地时，回复目标2/3的HP。
flowershield,Flower Shield,Raises Defense by 1 of all active Grass types.,鲜花防守,使用神奇的力量提高在场的所有草属性宝可梦的防御提高1级。
fly,Fly,"Flies up on first turn, then strikes the next turn.",飞翔,第１回合飞上天空，第２回合攻击对手。
flyingpress,Flying Press,Combines Flying in its type effectiveness.,飞身重压,从空中俯冲向对手。此招式同时带有格斗属性和飞行属性。
focusblast,Focus Blast,10% chance to lower the target's Sp. Def by 1.,真气弹,提高气势，释放出全部力量。10%几率降低对手的特防1级。
focusenergy,Focus Energy,Raises the user's critical hit ratio by 2.,聚气,深深地吸口气，集中精神。使自身进入易中要害状态，处于易中要害状态的宝可梦击中要害概率提升2级。
focuspunch,Focus Punch,Fails if the user takes damage before it hits.,真气拳,集中精神出拳。在招式使出前若受到攻击则会失败。
followme,Follow Me,The foes' moves target the user on the turn used.,看我嘛,引起对手的注意，将对手的攻击全部转移到自己身上。
forcepalm,Force Palm,30% chance to paralyze the target.,发劲,向对手的身体发出冲击波进行攻击。30%几率会让对手陷入麻痹状态。
foresight,Foresight,"Fighting, Normal hit Ghost. Evasiveness ignored.",识破,对幽灵属性宝可梦没有效果的招式以及闪避率高的对手，使用后变得能够打中。
forestscurse,Forest's Curse,Adds Grass to the target's type(s).,森林诅咒,向对手施加森林诅咒。中了诅咒的对手会被追加草属性。
foulplay,Foul Play,Uses target's Attack stat in damage calculation.,欺诈,利用对手的力量进行攻击。正和自己战斗的对手，其攻击越高，伤害越大。
freezedry,Freeze-Dry,10% chance to freeze. Super effective on Water.,冷冻干燥,急剧冷冻对手，有10%几率让对手陷入冰冻状态。对于水属性宝可梦造成效果绝佳。
freezeshock,Freeze Shock,Charges turn 1. Hits turn 2. 30% paralyze.,冰冻伏特,用覆盖着电流的冰块，在第２回合撞向对手。有30%几率让对手陷入麻痹状态。
freezingglare,Freezing Glare,10% chance to freeze the target.,冰冷视线,从双眼发射精神力量进行攻击。10%几率让对手陷入冰冻状态。
freezyfrost,Freezy Frost,Eliminates all stat changes.,冰冰霜冻,利用冰冷的黑雾结晶进行攻击。使全体宝可梦的能力变回原点。
frenzyplant,Frenzy Plant,User cannot move next turn.,疯狂植物,用大树摔打对手进行攻击。下一回合自己将无法动弹。
frostbreath,Frost Breath,Always results in a critical hit.,冰息,将冰冷的气息吹向对手进行攻击。必定会击中要害。
frustration,Frustration,Max 102 power at minimum Happiness.,迁怒,为了发泄不满而全力攻击对手。亲密度越低，威力越大。
furyattack,Fury Attack,Hits 2-5 times in one turn.,乱击,用角或喙刺向对手进行攻击。连续攻击２～５次。
furycutter,Fury Cutter,"Power doubles with each hit, up to 160.",连斩,用镰刀或爪子等切斩对手进行攻击。连续击中，威力就会提高。
furyswipes,Fury Swipes,Hits 2-5 times in one turn.,乱抓,用爪子或镰刀等抓对手进行攻击。连续攻击２～５次。
fusionbolt,Fusion Bolt,Power doubles if used after Fusion Flare this turn.,交错闪电,释放出巨大的闪电。受到巨大的火焰影响时，招式威力翻倍。
fusionflare,Fusion Flare,Power doubles if used after Fusion Bolt this turn.,交错火焰,释放出巨大的火焰。受到巨大的闪电影响时，招式威力会提高。
futuresight,Future Sight,Hits two turns after being used.,预知未来,在使用招式２回合后，向对手发送一团念力进行攻击。
gastroacid,Gastro Acid,Nullifies the target's Ability.,胃液,将胃液吐向对手的身体。沾上的胃液会消除对手的特性效果。
geargrind,Gear Grind,Hits 2 times in one turn.,齿轮飞盘,向对手投掷钢铁齿轮进行攻击。连续２次给予伤害。
gearup,Gear Up,"Raises Atk, Sp. Atk of allies with Plus/Minus by 1.",辅助齿轮,启动齿轮，令己方提高特性为正电和负电的宝可梦的攻击和特攻各1级。
genesissupernova,Genesis Supernova,Summons Psychic Terrain.,起源超新星大爆炸,得到Ｚ力量的梦幻将全力攻击对手。脚下会变成精神场地。
geomancy,Geomancy,"Charges, then raises SpA, SpD, Spe by 2 turn 2.",大地掌控,第１回合吸收能量，第２回合提高特攻、特防和速度各2级。
gigadrain,Giga Drain,User recovers 50% of the damage dealt.,终极吸取,吸取对手的养分进行攻击。可以回复对手所受伤害的一半ＨＰ。
gigaimpact,Giga Impact,User cannot move next turn.,终极冲击,使出自己浑身力量突击对手。下一回合自己将无法动弹。
gigavolthavoc,Gigavolt Havoc,Power is equal to the base move's Z-Power.,终极伏特狂雷闪,通过Ｚ力量将蓄积的强大电流全力撞向对手。威力会根据原来的招式而改变。
glaciallance,Glacial Lance,No additional effect. Hits adjacent foes.,雪矛,向对手投掷掀起暴风雪的冰矛进行攻击。
glaciate,Glaciate,100% chance to lower the foe(s) Speed by 1.,冰封世界,将冰冻的冷气吹向对手进行攻击。100%几率降低对手的速度1级。
glare,Glare,Paralyzes the target.,大蛇瞪眼,用腹部的花纹使对手害怕，从而让其陷入麻痹状态。
glitzyglow,Glitzy Glow,Summons Light Screen.,哗哗气场,利用念力强攻，粉碎对方信心。制造一道能减弱对手特殊攻击的神奇墙壁。
gmaxbefuddle,G-Max Befuddle,Base move affects power. Foes: slp or psn or par.,超极巨蝶影蛊惑,超极巨化的巴大蝶使出的虫属性攻击。会让对手陷入中毒、麻痹或睡眠状态中的一种。
gmaxcannonade,G-Max Cannonade,"Base move affects power. Foes: -1/6 HP, 4 turns.",超极巨水炮轰灭,超极巨化的水箭龟使出的水属性攻击。在４回合内每回合给予对手损失最大HP1/6的伤害。
gmaxcentiferno,G-Max Centiferno,Base move affects power. Foes: bound 4-5 turns.,超极巨百火焚野,超极巨化的焚焰蚣使出的火属性攻击。可在４～５回合内将对手困在火焰中。
gmaxchistrike,G-Max Chi Strike,Base move affects power. Allies: Crit Ratio +1.,超极巨会心一击,超极巨化的怪力使出的格斗属性攻击。自身击中要害等级提升1级。
gmaxcuddle,G-Max Cuddle,Base move affects power. Foes: infatuated.,超极巨热情拥抱,超极巨化的伊布使出的一般属性攻击。会让性别相对的对手陷入着迷状态。
gmaxdepletion,G-Max Depletion,Base move affects power. Foes: last move -2 PP.,超极巨劣化衰变,超极巨化的铝钢龙使出的龙属性攻击。对手最后使用的招式的ＰＰ减2。
gmaxdrumsolo,G-Max Drum Solo,Stronger than other Max Moves. Ignores abilities.,超极巨狂擂乱打,超极巨化的轰擂金刚猩使出的草属性攻击。不会受到对手特性的干扰。
gmaxfinale,G-Max Finale,Base move affects power. Allies: +1/6 max HP.,超极巨幸福圆满,超极巨化的霜奶仙使出的妖精属性攻击。可回复我方的所有宝可梦当前最大1/6的ＨＰ。
gmaxfireball,G-Max Fireball,Stronger than other Max Moves. Ignores abilities.,超极巨破阵火球,超极巨化的闪焰王牌使出的火属性攻击。不会受到对手特性的干扰。
gmaxfoamburst,G-Max Foam Burst,Base move affects power. Foes: -2 Speed.,超极巨激漩泡涡,超极巨化的巨钳蟹使出的水属性攻击。100%几率令对手全部宝可梦速度降低2级。
gmaxgoldrush,G-Max Gold Rush,Base move affects power. Foes: confused.,超极巨特大金币,超极巨化的喵喵使出的一般属性攻击。会让对手全员陷入混乱状态，并可获得金钱。
gmaxgravitas,G-Max Gravitas,Base move affects power. Starts Gravity.,超极巨天道七星,超极巨化的以欧路普使出的超能力属性攻击。在５回合内重力会产生变化，包括使用技能的本回合。
gmaxhydrosnipe,G-Max Hydrosnipe,Stronger than other Max Moves. Ignores abilities.,超极巨狙击神射,超极巨化的千面避役使出的水属性攻击。不会受到对手特性的干扰。
gmaxmalodor,G-Max Malodor,Base move affects power. Foes: poisoned.,超极巨臭气冲天,超极巨化的灰尘山使出的毒属性攻击。会让对手陷入中毒状态。
gmaxmeltdown,G-Max Meltdown,Base move affects power. Foes: Tormented.,超极巨液金熔击,超极巨化的美录梅塔使出的钢属性攻击。会让对手所有宝可梦2回合无法连续使出相同的招式。
gmaxoneblow,G-Max One Blow,Base move affects power. Breaks all protection.,超极巨夺命一击,超极巨化的武道熊师使出的恶属性攻击。是可以无视极巨防壁的一击。
gmaxrapidflow,G-Max Rapid Flow,Base move affects power. Breaks all protection.,超极巨流水连击,超极巨化的武道熊师使出的水属性攻击。是可以无视极巨防壁的连击。
gmaxreplenish,G-Max Replenish,Base move affects power. 50% restores Berries.,超极巨资源再生,超极巨化的卡比兽使出的一般属性攻击。50%的几率获得已经使用过的树果。
gmaxresonance,G-Max Resonance,Base move affects power. Allies: Aurora Veil.,超极巨极光旋律,超极巨化的拉普拉斯使出的冰属性攻击。可在５回合内受到的伤害减半。场上存在其他己方宝可梦则只降低1/3
gmaxsandblast,G-Max Sandblast,Base move affects power. Foes: bound 4-5 turns.,超极巨沙尘漫天,超极巨化的沙螺蟒使出的地面属性攻击。使目标陷入束缚状态持续４～５回合。
gmaxsmite,G-Max Smite,Base move affects power. Foes: confused.,超极巨天谴雷诛,超极巨化的布莉姆温使出的妖精属性攻击。会让对手陷入混乱状态。
gmaxsnooze,G-Max Snooze,Base move affects power. Target: 50% Yawn.,超极巨睡魔降临,超极巨化的长毛巨魔使出的恶属性攻击。有50%概率会通过打大哈欠让目标陷入瞌睡状态。
gmaxsteelsurge,G-Max Steelsurge,Base move affects power. Foes: Steel hazard.,超极巨钢铁阵法,超极巨化的大王铜象使出的钢属性攻击。向对手场地撒下尖锐的刺，使交换上场的宝可梦受到满HP1/8的伤害。
gmaxstonesurge,G-Max Stonesurge,Base move affects power. Foes: Stealth Rock.,超极巨岩阵以待,超极巨化的暴噬龟使出的水属性攻击。向对手场地撒下尖锐的岩石，使交换上场的宝可梦受到满HP1/8的伤害。
gmaxstunshock,G-Max Stun Shock,Base move affects power. Foes: psn or par.,超极巨异毒电场,超极巨化的颤弦蝾螈使出的电属性攻击。会让对手陷入中毒或麻痹状态。
gmaxsweetness,G-Max Sweetness,Base move affects power. Allies: status cured.,超极巨琼浆玉液,超极巨化的丰蜜龙使出的草属性攻击。会治愈我方的异常状态。
gmaxtartness,G-Max Tartness,Base move affects power. Foes: -1 evasiveness.,超极巨酸不溜丢,超极巨化的苹裹龙使出的草属性攻击。会降低对手的闪避率。
gmaxterror,G-Max Terror,Base move affects power. Foes: trapped.,超极巨幻影幽魂,超极巨化的耿鬼使出的幽灵属性攻击。会踩住对手的影子，让其无法被替换。
gmaxvinelash,G-Max Vine Lash,"Base move affects power. Foes: -1/6 HP, 4 turns.",超极巨灰飞鞭灭,超极巨化的妙蛙花使出的草属性攻击。会在回合结束对草属性以外的宝可梦损失最大HP的1/6，持续4回合。
gmaxvolcalith,G-Max Volcalith,"Base move affects power. Foes: -1/6 HP, 4 turns.",超极巨炎石喷发,超极巨化的巨炭山使出的岩石属性攻击。会在回合结束对岩石属性以外的宝可梦损失最大HP的1/6，持续4回合。
gmaxvoltcrash,G-Max Volt Crash,Base move affects power. Foes: paralyzed.,超极巨万雷轰顶,超极巨化的皮卡丘使出的电属性攻击。会让对手所有宝可梦陷入麻痹状态。
gmaxwildfire,G-Max Wildfire,"Base move affects power. Foes: -1/6 HP, 4 turns.",超极巨地狱灭焰,超极巨化的喷火龙使出的火属性攻击。会在回合结束对火属性以外的宝可梦损失最大HP的1/6，持续4回合。
gmaxwindrage,G-Max Wind Rage,"Base move affects power. Ends Terrain, hazards.",超极巨旋风袭卷,超极巨化的钢铠鸦使出的飞行属性攻击。可消除反射壁、光墙、撒菱和场地型状态等的效果。
grassknot,Grass Knot,More power the heavier the target.,打草结,用草缠住并绊倒对手。对手越重，威力越大。
grasspledge,Grass Pledge,Use with Fire or Water Pledge for added effect.,草之誓约,用草柱进行攻击。和火之誓约或水之誓约混合使用，效果更佳。
grasswhistle,Grass Whistle,Causes the target to fall asleep.,草笛,让对手听舒适的笛声，从而陷入睡眠状态。
grassyglide,Grassy Glide,User on Grassy Terrain: +1 priority.,青草滑梯,仿佛在地面上滑行般地攻击对手。在地面上的宝可梦，必定能够先制攻击。
grassyterrain,Grassy Terrain,"5 turns. Grounded: +Grass power, +1/16 max HP.",青草场地,在５回合内变成青草场地。地面上的宝可梦每回合都能回复少许HP。草属性的招式威力还会提高30%。
gravapple,Grav Apple,Target: 100% -1 Def. During Gravity: 1.5x power.,万有引力,从高处落下苹果，给予对手伤害。100%几率降低对手防御1级。处于重力状态威力提升50%。
gravity,Gravity,"5 turns: no Ground immunities, 1.67x accuracy.",重力,在５回合内，飘浮特性和飞行属性的宝可梦会被地面属性的招式击中。飞向空中的招式也将无法使用。
growl,Growl,Lowers the foe(s) Attack by 1.,叫声,让对手听可爱的叫声，引开注意力使其疏忽，降低目标攻击1级。
growth,Growth,Raises user's Attack and Sp. Atk by 1; 2 in Sun.,生长,让身体一下子长大，100%几率提高自身攻击和特攻各1级。
grudge,Grudge,"If the user faints, the attack used loses all its PP.",怨念,因对手的招式而陷入濒死时给对手施加怨念，让该招式的ＰＰ变成０。
guardianofalola,Guardian of Alola,Does damage equal to 3/4 target's current HP.,巨人卫士·阿罗拉,通过Ｚ力量得到阿罗拉之力的土地神宝可梦将全力进行攻击。给予对手剩余3/4HP的伤害。攻击必定会命中。对手使用防住类招式则造成对手剩余3/16HP的伤害。
guardsplit,Guard Split,Averages Defense and Sp. Def stats with target.,防守平分,利用超能力将自己和对手的防御和特防相加，再进行平分。
guardswap,Guard Swap,Swaps Defense and Sp. Def changes with target.,防守互换,利用超能力互换自己和对手的防御以及特防的能力变化。
guillotine,Guillotine,OHKOs the target. Fails if user is a lower level.,断头钳,用大钳子或剪刀等夹断对手进行攻击。只要命中就会一击濒死。
gunkshot,Gunk Shot,30% chance to poison the target.,垃圾射击,用肮脏的垃圾撞向对手进行攻击。30%几率让对手陷入中毒状态。
gust,Gust,"Power doubles during Bounce, Fly, and Sky Drop.",起风,用翅膀将刮起的狂风袭向对手进行攻击，目标处于飞翔状态威力翻倍。可击中飞翔状态宝可梦。
gyroball,Gyro Ball,More power the slower the user than the target.,陀螺球,让身体高速旋转并撞击对手。速度比对手越慢，威力越大。
hail,Hail,"For 5 turns, hail crashes down.",冰雹,在５回合内一直降冰雹，除冰属性的宝可梦以外，给予全体宝可梦伤害。
hammerarm,Hammer Arm,Lowers the user's Speed by 1.,臂锤,挥舞强力而沉重的拳头，给予对手伤害。令使用者的速度降低1级。
happyhour,Happy Hour,No competitive use.,欢乐时光,如果使用欢乐时光，战斗后得到的钱会翻倍。
harden,Harden,Raises the user's Defense by 1.,变硬,全身使劲，让身体变硬，提高使用者的防御1级。
haze,Haze,Eliminates all stat changes.,黑雾,升起黑雾，将正在场上战斗的全体宝可梦的能力变回原点。
headbutt,Headbutt,30% chance to flinch the target.,头锤,将头伸出，笔直地扑向对手进行攻击。30%几率使对手畏缩。
headcharge,Head Charge,Has 1/4 recoil.,爆炸头突击,用厉害的爆炸头猛撞向对手进行攻击。自己也会受到造成伤害的25%的伤害。
headsmash,Head Smash,Has 1/2 recoil.,双刃头锤,拼命使出浑身力气，向对手进行头锤攻击。自己也会受到造成伤害的50%的伤害。
healbell,Heal Bell,Cures the user's party of all status conditions.,治愈铃声,让同伴听舒适的铃音，从而治愈我方全员的异常状态。
healblock,Heal Block,"For 5 turns, the foe(s) is prevented from healing.",回复封锁,在５回合内无法通过招式、特性或携带的道具来回复ＨＰ。
healingwish,Healing Wish,User faints. Next hurt Pokemon is fully healed.,治愈之愿,虽然自己陷入濒死，但可以治愈后备上场的宝可梦的异常状态以及所有ＨＰ。
healorder,Heal Order,Heals the user by 50% of its max HP.,回复指令,召唤手下疗伤。回复自己最大ＨＰ的一半。
healpulse,Heal Pulse,Heals the target by 50% of its max HP.,治愈波动,放出治愈波动，从而回复对手最大ＨＰ的一半。
heartstamp,Heart Stamp,30% chance to flinch the target.,爱心印章,以可爱的动作使对手疏忽，乘机给出强烈的一击。30%几率使对手畏缩。
heartswap,Heart Swap,Swaps all stat changes with target.,心灵互换,利用超能力互换自己和对手之间的能力变化。
heatcrash,Heat Crash,More power the heavier the user than the target.,高温重压,用燃烧的身体撞向对手进行攻击。自己比对手越重，威力越大
heatwave,Heat Wave,10% chance to burn the foe(s).,热风,将炎热的气息吹向对手进行攻击。10%几率让对手陷入灼伤状态。
heavyslam,Heavy Slam,More power the heavier the user than the target.,重磅冲击,用沉重的身体撞向对手进行攻击。自己比对手越重，威力越大。
helpinghand,Helping Hand,One adjacent ally's move power is 1.5x this turn.,帮助,帮助伙伴。被帮助的宝可梦，其招式威力在本回合结束前提升50%。
hex,Hex,Power doubles if the target has a status ailment.,祸不单行,接二连三地进行攻击。攻击处于异常状态的对手威力翻倍。
hiddenpower,Hidden Power,,觉醒力量,招式的属性会随着使用此招式的宝可梦而改变。
highhorsepower,High Horsepower,No additional effect.,十万马力,使出全身力量，猛攻对手。
highjumpkick,High Jump Kick,User is hurt by 50% of its max HP if it misses.,飞膝踢,跳起后用膝盖撞对手进行攻击。若没有命中自身损失最大HP一半HP。
holdback,Hold Back,Always leaves the target with at least 1 HP.,手下留情,在攻击的时候手下留情，从而使对手的ＨＰ至少会留下１ＨＰ。
holdhands,Hold Hands,No competitive use.,牵手,我方宝可梦之间牵手。能带来非常幸福的心情。
honeclaws,Hone Claws,Raises the user's Attack and accuracy by 1.,磨爪,将爪子磨得更加锋利。提高自己的攻击和命中率各1级。
hornattack,Horn Attack,No additional effect.,角撞,用尖锐的角攻击对手。
horndrill,Horn Drill,OHKOs the target. Fails if user is a lower level.,角钻,用旋转的角刺入对手进行攻击。只要命中就会一击濒死。
hornleech,Horn Leech,User recovers 50% of the damage dealt.,木角,将角刺入，吸取对手的养分。可以回复给予对手伤害的一半ＨＰ。
howl,Howl,Raises the user's and ally's Attack by 1.,长嚎,大声吼叫提高气势，从而提高自己的攻击1级。
hurricane,Hurricane,30% chance to confuse target. Can't miss in rain.,暴风,用强烈的风席卷对手进行攻击。30%几率使对手混乱。
hydrocannon,Hydro Cannon,User cannot move next turn.,加农水炮,向对手喷射水炮进行攻击。下一回合自己将无法动弹。
hydropump,Hydro Pump,No additional effect.,水炮,向对手猛烈地喷射大量水流进行攻击。
hydrovortex,Hydro Vortex,Power is equal to the base move's Z-Power.,超级水流大漩涡,通过Ｚ力量制造大大的潮旋，全力吞没对手。威力会根据原来的招式而改变。
hyperbeam,Hyper Beam,User cannot move next turn.,破坏光线,向对手发射强烈的光线进行攻击。下一回合自己将无法动弹。
hyperfang,Hyper Fang,10% chance to flinch the target.,必杀门牙,用锋利的门牙牢牢地咬住对手进行攻击。20%几率使对手畏缩。
hyperspacefury,Hyperspace Fury,Hoopa-U: Lowers user's Def by 1; breaks protect.,异次元猛攻,用许多手臂，无视对手的守住或看穿等招式进行连续攻击，使用者防御会降低1级。
hyperspacehole,Hyperspace Hole,Breaks the target's protection for this turn.,异次元洞,通过异次元洞，突然出现在对手的侧面进行攻击。还可以无视守住和看穿等招式。
hypervoice,Hyper Voice,No additional effect. Hits adjacent foes.,巨声,给予对手又吵又响的巨大震动进行攻击。
hypnosis,Hypnosis,Causes the target to fall asleep.,催眠术,施以诱导睡意的暗示，让对手陷入睡眠状态。
iceball,Ice Ball,Power doubles with each hit. Repeats for 5 turns.,冰球,在５回合内强制攻击对手。招式每次击中，威力就会提高。
icebeam,Ice Beam,10% chance to freeze the target.,冰冻光束,向对手发射冰冻光束进行攻击。10%几率让对手陷入冰冻状态。
iceburn,Ice Burn,Charges turn 1. Hits turn 2. 30% burn.,极寒冷焰,用能够冻结一切的强烈冷气，在第２回合包裹住对手。30%几率让对手陷入灼伤状态。
icefang,Ice Fang,10% chance to freeze. 10% chance to flinch.,冰冻牙,用藏有冷气的牙齿咬住对手。10%几率使对手畏缩或陷入冰冻状态。
icehammer,Ice Hammer,Lowers the user's Speed by 1.,冰锤,挥舞强力而沉重的拳头，给予对手伤害。令使用者的速度降低1级。
icepunch,Ice Punch,10% chance to freeze the target.,冰冻拳,用充满寒气的拳头攻击对手。10%几率让对手陷入冰冻状态。
iceshard,Ice Shard,Usually goes first.,冰砾,瞬间制作冰块，快速地扔向对手。必定能够先制攻击。
iciclecrash,Icicle Crash,30% chance to flinch the target.,冰柱坠击,用大冰柱激烈地撞向对手进行攻击。30%几率使对手畏缩。
iciclespear,Icicle Spear,Hits 2-5 times in one turn.,冰锥,向对手发射锋利的冰柱进行攻击。连续攻击２～５次。
icywind,Icy Wind,100% chance to lower the foe(s) Speed by 1.,冰冻之风,将结冰的冷气吹向对手进行攻击。100%几率降低目标的速度1级。
imprison,Imprison,No foe can use any move known by the user.,封印,如果对手有和自己相同的招式，那么只有对手无法使用该招式。
incinerate,Incinerate,Destroys the foe(s) Berry/Gem.,烧尽,用火焰攻击对手。对手携带树果或宝石时，会烧掉，使其不能使用。
inferno,Inferno,100% chance to burn the target.,炼狱,用烈焰包裹住对手进行攻击。100%几率让对手陷入灼伤状态。
infernooverdrive,Inferno Overdrive,Power is equal to the base move's Z-Power.,超强极限爆焰弹,通过Ｚ力量喷出熊熊烈火，全力撞向对手。威力会根据原来的招式而改变。
infestation,Infestation,Traps and damages the target for 4-5 turns.,死缠烂打,在４～５回合内死缠烂打地进行攻击。在此期间对手将无法逃走。
ingrain,Ingrain,Traps/grounds user; heals 1/16 max HP per turn.,扎根,在大地上扎根，每回合回复自己满HP的1/16ＨＰ。因为扎根了，所以不能替换宝可梦。
instruct,Instruct,The target immediately uses its last used move.,号令,向对手下达指示，让其再次使出刚才的招式。
iondeluge,Ion Deluge,Normal moves become Electric type this turn.,等离子浴,将带电粒子扩散开来，使一般属性的招式变成电属性。
irondefense,Iron Defense,Raises the user's Defense by 2.,铁壁,将皮肤变得坚硬如铁，从而提高自己的防御2级。
ironhead,Iron Head,30% chance to flinch the target.,铁头,用钢铁般坚硬的头部进行攻击。30%几率使对手畏缩。
irontail,Iron Tail,30% chance to lower the target's Defense by 1.,铁尾,使用坚硬的尾巴摔打对手进行攻击。30%几率降低对手的防御1级。
jawlock,Jaw Lock,Prevents both user and target from switching out.,紧咬不放,使双方直到一方濒死为止无法替换宝可梦。其中一方退场则可以解除效果。
judgment,Judgment,Type varies based on the held Plate.,制裁光砾,向对手放出无数的光弹。属性会根据自己携带的石板不同而改变。
jumpkick,Jump Kick,User is hurt by 50% of its max HP if it misses.,飞踢,使出高高的腾空踢攻击对手。若没有命中自身损失最大HP的一半HP。
junglehealing,Jungle Healing,"User and allies: healed 1/4 max HP, status cured.",丛林治疗,与丛林融为一体，回复自己和场上同伴的1/4ＨＰ并治愈所有异常状态。
karatechop,Karate Chop,High critical hit ratio.,空手劈,用锋利的手刀劈向对手进行攻击。容易击中要害。
kinesis,Kinesis,Lowers the target's accuracy by 1.,折弯汤匙,折弯汤匙引开注意，从而降低对手的命中率1级。
kingsshield,King's Shield,Protects from damaging attacks. Contact: -1 Atk.,王者盾牌,防住对手攻击的同时，自己变为防御姿态。降低所接触到的对手的攻击。
knockoff,Knock Off,1.5x damage if foe holds an item. Removes item.,拍落,拍落对手的持有物，直到战斗结束都不能使用。对手携带道具时伤害提升50%。
landswrath,Land's Wrath,No additional effect. Hits adjacent foes.,大地之力,聚集大地的力量，将此力量集中攻击对手，并给予伤害。
