hiddenpower,Hidden Power,,觉醒力量,招式的属性会随着使用此招式的宝可梦而改变。,Poder Oculto,"Este movimiento tiene un tipo variable y un poder base variable entre 30 y 70, dependiendo de los IV′s del usuario."
highhorsepower,High Horsepower,No additional effect.,十万马力,使出全身力量，猛攻对手。,Fuerza Equina,Ninguno.
highjumpkick,High Jump Kick,User is hurt by 50% of its max HP if it misses.,飞膝踢,跳起后用膝盖撞对手进行攻击。若没有命中自身损失最大HP一半HP。,Pat. Salto Alta,"Si el ataque falla, el usuario recibe un daño equivalente al 50% de su PS máximo."
holdback,Hold Back,Always leaves the target with at least 1 HP.,手下留情,在攻击的时候手下留情，从而使对手的ＨＰ至少会留下１ＨＰ。,Clemencia,Deja al rival con al menos 1 PS.
holdhands,Hold Hands,No competitive use.,牵手,我方宝可梦之间牵手。能带来非常幸福的心情。,Manos Juntas,El Pokémon baila con su aliado en un combate múltiple.
honeclaws,Hone Claws,Raises the user's Attack and accuracy by 1.,磨爪,将爪子磨得更加锋利。提高自己的攻击和命中率各1级。,Afilagarras,Aumenta un nivel el Ataque y la Precisión al usuario.
hornattack,Horn Attack,No additional effect.,角撞,用尖锐的角攻击对手。,Cornada,Ninguno.
horndrill,Horn Drill,OHKOs the target. Fails if user is a lower level.,角钻,用旋转的角刺入对手进行攻击。只要命中就会一击濒死。,Perforador,Puede debilitar al Pokémon rival de un solo golpe.
hornleech,Horn Leech,User recovers 50% of the damage dealt.,木角,将角刺入，吸取对手的养分。可以回复给予对手伤害的一半ＨＰ。,Asta Drenaje,El usuario recupera PS equivalente a la mitad del daño causado.
howl,Howl,Raises the user's and ally's Attack by 1.,长嚎,大声吼叫提高气势，从而提高自己的攻击1级。,Aullido,Aumenta un nivel el Ataque al usuario.
hurricane,Hurricane,30% chance to confuse target. Can't miss in rain.,暴风,用强烈的风席卷对手进行攻击。30%几率使对手混乱。,Vendaval,"30% de confundir al rival. Golpea a Pokémon en mitad de un Vuelo, Bote o Caída Libre. En Llovizna no falla. En Día Soleado tiene 50% de precisión."
hydrocannon,Hydro Cannon,User cannot move next turn.,加农水炮,向对手喷射水炮进行攻击。下一回合自己将无法动弹。,Hidrocañón,Impide al usuario usar un movimiento o ser intercambiado en el siguiente turno.
hydropump,Hydro Pump,No additional effect.,水炮,向对手猛烈地喷射大量水流进行攻击。,Hidrobomba,Ninguno.
hydrovortex,Hydro Vortex,Power is equal to the base move's Z-Power.,超级水流大漩涡,通过Ｚ力量制造大大的潮旋，全力吞没对手。威力会根据原来的招式而改变。,Hidrovórtice Abisal,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
hyperbeam,Hyper Beam,User cannot move next turn.,破坏光线,向对手发射强烈的光线进行攻击。下一回合自己将无法动弹。,Hiperrayo,Impide al usuario usar un movimiento o ser intercambiado en el siguiente turno.
hyperfang,Hyper Fang,10% chance to flinch the target.,必杀门牙,用锋利的门牙牢牢地咬住对手进行攻击。20%几率使对手畏缩。,Hipercolmillo,10% de hacer retroceder al rival.
hyperspacefury,Hyperspace Fury,Hoopa-U: Lowers user's Def by 1; breaks protect.,异次元猛攻,用许多手臂，无视对手的守住或看穿等招式进行连续攻击，使用者防御会降低1级。,Cerco Dimensión,"Golpea aunque el rival use Protección, Detección, Vastaguardia o Anticipo ese turno. Baja un nivel la Defensa al usuario."
hyperspacehole,Hyperspace Hole,Breaks the target's protection for this turn.,异次元洞,通过异次元洞，突然出现在对手的侧面进行攻击。还可以无视守住和看穿等招式。,Paso Dimensional,"Golpea aunque el rival use Protección, Detección, Vastaguardia o Anticipo ese turno."
hypervoice,Hyper Voice,No additional effect. Hits adjacent foes.,巨声,给予对手又吵又响的巨大震动进行攻击。,Vozarrón,Ninguno.
hypnosis,Hypnosis,Causes the target to fall asleep.,催眠术,施以诱导睡意的暗示，让对手陷入睡眠状态。,Hipnosis,Provoca Sueño.
iceball,Ice Ball,Power doubles with each hit. Repeats for 5 turns.,冰球,在５回合内强制攻击对手。招式每次击中，威力就会提高。,Bola Hielo,"El usuario debe usar este movimiento por hasta 5 turnos (mientras no falle). Por cada turno que use el ataque, su poder base se dobla."
icebeam,Ice Beam,10% chance to freeze the target.,冰冻光束,向对手发射冰冻光束进行攻击。10%几率让对手陷入冰冻状态。,Rayo Hielo,10% de congelar al rival.
iceburn,Ice Burn,Charges turn 1. Hits turn 2. 30% burn.,极寒冷焰,用能够冻结一切的强烈冷气，在第２回合包裹住对手。30%几率让对手陷入灼伤状态。,Llama Gélida,30% de quemar al rival. Se prepara el primer turno para atacar en el segundo.
icefang,Ice Fang,10% chance to freeze. 10% chance to flinch.,冰冻牙,用藏有冷气的牙齿咬住对手。10%几率使对手畏缩或陷入冰冻状态。,Colmillo Hielo,10% de congelar al rival y 10% de hacer retroceder al rival. Ambos efectos son independientes y pueden ocurrir a la vez.
icehammer,Ice Hammer,Lowers the user's Speed by 1.,冰锤,挥舞强力而沉重的拳头，给予对手伤害。令使用者的速度降低1级。,Martillo Hielo,Baja un nivel la Velocidad al usuario.
icepunch,Ice Punch,10% chance to freeze the target.,冰冻拳,用充满寒气的拳头攻击对手。10%几率让对手陷入冰冻状态。,Puño Hielo,10% de congelar al rival.
iceshard,Ice Shard,Usually goes first.,冰砾,瞬间制作冰块，快速地扔向对手。必定能够先制攻击。,Canto Helado,Golpea primero.
iciclecrash,Icicle Crash,30% chance to flinch the target.,冰柱坠击,用大冰柱激烈地撞向对手进行攻击。30%几率使对手畏缩。,Chuzos,30% de hacer retroceder al rival.
iciclespear,Icicle Spear,Hits 2-5 times in one turn.,冰锥,向对手发射锋利的冰柱进行攻击。连续攻击２～５次。,Carámbano,Golpea de 2 a 5 veces seguidas.
icywind,Icy Wind,100% chance to lower the foe(s) Speed by 1.,冰冻之风,将结冰的冷气吹向对手进行攻击。100%几率降低目标的速度1级。,Viento Hielo,100% de reducir un nivel la Velocidad al rival.
imprison,Imprison,No foe can use any move known by the user.,封印,如果对手有和自己相同的招式，那么只有对手无法使用该招式。,Cerca,"Mientras el usuario permanezca en batalla, los rivales no pueden usar movimientos que también conozca el usuario (incluso si los aprende en batalla)."
incinerate,Incinerate,Destroys the foe(s) Berry/Gem.,烧尽,用火焰攻击对手。对手携带树果或宝石时，会烧掉，使其不能使用。,Calcinación,Quema la Baya del Pokémon objetivo y la hace inservible.
inferno,Inferno,100% chance to burn the target.,炼狱,用烈焰包裹住对手进行攻击。100%几率让对手陷入灼伤状态。,Infierno,100% de quemar al rival.
infernooverdrive,Inferno Overdrive,Power is equal to the base move's Z-Power.,超强极限爆焰弹,通过Ｚ力量喷出熊熊烈火，全力撞向对手。威力会根据原来的招式而改变。,Hecatombe Pírica,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
infestation,Infestation,Traps and damages the target for 4-5 turns.,死缠烂打,在４～５回合内死缠烂打地进行攻击。在此期间对手将无法逃走。,Acoso,"El Pokémon rival permanece atrapado de 4 a 5 turnos, recibiendo un daño del 12.5% del PS cada turno."
ingrain,Ingrain,Traps/grounds user; heals 1/16 max HP per turn.,扎根,在大地上扎根，每回合回复自己满HP的1/16ＨＰ。因为扎根了，所以不能替换宝可梦。,Arraigo,"El usuario recupera un 6.25% de su PS máximo al final de cada turno, pero no puede ser intercambiado. Anula la inmunidad a Tierra de voladores y levitadores."
instruct,Instruct,The target immediately uses its last used move.,号令,向对手下达指示，让其再次使出刚才的招式。,Mandato,El Pokémon objetivo ejecuta inmediatamente el último movimiento que haya usado en combate.
iondeluge,Ion Deluge,Normal moves become Electric type this turn.,等离子浴,将带电粒子扩散开来，使一般属性的招式变成电属性。,Cortina Plasma,Los movimientos de tipo Normal pasan a ser de tipo Eléctrico.
irondefense,Iron Defense,Raises the user's Defense by 2.,铁壁,将皮肤变得坚硬如铁，从而提高自己的防御2级。,Defensa Férrea,Aumenta dos niveles la Defensa al usuario.
ironhead,Iron Head,30% chance to flinch the target.,铁头,用钢铁般坚硬的头部进行攻击。30%几率使对手畏缩。,Cabeza de Hierro,30% de hacer retroceder al rival.
irontail,Iron Tail,30% chance to lower the target's Defense by 1.,铁尾,使用坚硬的尾巴摔打对手进行攻击。30%几率降低对手的防御1级。,Cola Férrea,30% de reducir un nivel la Defensa al rival.
jawlock,Jaw Lock,Prevents both user and target from switching out.,紧咬不放,使双方直到一方濒死为止无法替换宝可梦。其中一方退场则可以解除效果。,Jaw Lock,Prevents both user and target from switching out.
judgment,Judgment,Type varies based on the held Plate.,制裁光砾,向对手放出无数的光弹。属性会根据自己携带的石板不同而改变。,Sentencia,El tipo del ataque depende de la Tabla equipada.
jumpkick,Jump Kick,User is hurt by 50% of its max HP if it misses.,飞踢,使出高高的腾空踢攻击对手。若没有命中自身损失最大HP的一半HP。,Patada Salto,"Si el ataque falla, el usuario recibe un daño equivalente al 50% de su PS máximo."
junglehealing,Jungle Healing,"User and allies: healed 1/4 max HP, status cured.",丛林治疗,与丛林融为一体，回复自己和场上同伴的1/4ＨＰ并治愈所有异常状态。,Jungle Healing,"User and allies: healed 1/4 max HP, status cured."
karatechop,Karate Chop,High critical hit ratio.,空手劈,用锋利的手刀劈向对手进行攻击。容易击中要害。,Golpe Kárate,Alta probabilidad de Golpe Crítico.
kinesis,Kinesis,Lowers the target's accuracy by 1.,折弯汤匙,折弯汤匙引开注意，从而降低对手的命中率1级。,Kinético,Baja un nivel la Precisión al rival.
kingsshield,King's Shield,Protects from damaging attacks. Contact: -1 Atk.,王者盾牌,防住对手攻击的同时，自己变为防御姿态。降低所接触到的对手的攻击。,King's Shield,Protects from damaging attacks. Contact: -1 Atk.
knockoff,Knock Off,1.5x damage if foe holds an item. Removes item.,拍落,拍落对手的持有物，直到战斗结束都不能使用。对手携带道具时伤害提升50%。,Desarme,"El rival pierde el objeto que pudiera tener equipado durante el resto de la batalla, salvo que tenga Viscosidad o Multitipo."
landswrath,Land's Wrath,No additional effect. Hits adjacent foes.,大地之力,聚集大地的力量，将此力量集中攻击对手，并给予伤害。,Land's Wrath,No additional effect. Hits adjacent foes.
laserfocus,Laser Focus,"Until the end of the next turn, user's moves crit.",磨砺,集中精神，下次攻击必定会击中要害。,Aguzar,Garantiza que el ataque que realice el usuario el siguiente turno sea Golpe Crítico.
lashout,Lash Out,2x power if the user had a stat lowered this turn.,泄愤,攻击对手以发泄对其感到的恼怒情绪。如果在该回合内自身能力遭到降低，招式的威力会变成２倍。,Lash Out,2x power if the user had a stat lowered this turn.
lastresort,Last Resort,Fails unless each known move has been used.,珍藏,当战斗中已学会的招式全部使用过后，才能开始使出珍藏的招式。,Última Baza,"Falla mientras el usuario no haya usado el resto de sus movimientos desde que salió a la batalla (último intercambio), y exige que al menos conozca otro movimiento."
lavaplume,Lava Plume,30% chance to burn adjacent Pokemon.,喷烟,用熊熊烈火攻击自己周围所有的宝可梦。30%几率使目标会陷入灼伤状态。,Humareda,30% de quemar al rival.
leafage,Leafage,No additional effect.,树叶,将叶片打向对手，进行攻击。,Follaje,Ninguno.
leafblade,Leaf Blade,High critical hit ratio.,叶刃,像用剑一般操纵叶片切斩对手进行攻击。容易击中要害。,Hoja Aguda,Alta probabilidad de Golpe Crítico.
leafstorm,Leaf Storm,Lowers the user's Sp. Atk by 2.,飞叶风暴,用尖尖的叶片向对手卷起风暴。使用之后因为反作用力会使自己的特攻降低2级。,Lluevehojas,100% de reducir dos niveles el Ataque Especial al usuario.
leaftornado,Leaf Tornado,50% chance to lower the target's accuracy by 1.,青草搅拌器,用锋利的叶片包裹住对手进行攻击。50%几率降低对手的命中率1级。,Ciclón de Hojas,50% de reducir un nivel la Precisión al rival.
leechlife,Leech Life,User recovers 50% of the damage dealt.,吸血,吸取血液攻击对手。可以回复给予对手伤害的一半ＨＰ。,Chupavidas,El usuario recupera PS equivalente a la mitad del daño causado.
leechseed,Leech Seed,1/8 of target's HP is restored to user every turn.,寄生种子,植入寄生种子后，将在每回合一点一点吸取对手最大HP1/8的ＨＰ，从而用来回复自己的ＨＰ。,Drenadoras,"Hace perder al rival un 12.5% de su PS cada turno, y lo transfiere a nuestro Pokémon. Inefectivo contra Pokémon de tipo Planta."
leer,Leer,Lowers the foe(s) Defense by 1.,瞪眼,用犀利的眼神使其害怕，从而降低对手的防御1级。,Malicioso,Baja un nivel la Defensa al rival.
letssnuggleforever,Let's Snuggle Forever,No additional effect.,亲密无间大乱揍,得到Ｚ力量的谜拟Ｑ将全力进行乱揍攻击。,Let's Snuggle Forever,No additional effect.
lick,Lick,30% chance to paralyze the target.,舌舔,用长长的舌头，舔遍对手进行攻击。30%几率让对手陷入麻痹状态。,Lengüetazo,30% de paralizar al rival.
lifedew,Life Dew,Heals the user and its allies by 1/4 their max HP.,生命水滴,喷洒出神奇的水，回复自己和场上同伴1/4的ＨＰ。,Life Dew,Heals the user and its allies by 1/4 their max HP.
lightofruin,Light of Ruin,Has 1/2 recoil.,破灭之光,借用永恒之花的力量，发射出强力光线。自己也会受到造成伤害的一半的伤害。,Luz Aniquiladora,Provoca un daño de retroceso del 50% del daño provocado al Pokémon rival.
lightscreen,Light Screen,"For 5 turns, special damage to allies is halved.",光墙,在５回合内使用神奇的墙，从对手那受到的特殊攻击的伤害减半。,Pantalla de Luz,Reduce el daño provocado a tu Pokémon por ataques especiales del rival en un 50% (33% en 2vs2) durante 5 turnos.
lightthatburnsthesky,Light That Burns the Sky,Physical if user's Atk > Sp. Atk. Ignores Abilities.,焚天灭世炽光爆,奈克洛兹玛会无视对手的特性效果，在攻击和特攻之间，用数值相对较高的一项给予对方伤害。,Fotodestrucción Apocalíptica,"Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por Necrozma con Ultranecrostal Z equipado. El daño de este ataque se calcula con el stat de Ataque o de Ataque Especial, en función de cuál sea más alto."
liquidation,Liquidation,20% chance to lower the target's Defense by 1.,水流裂破,用水之力量撞向对手进行攻击。20%几率降低对手的防御1级。,Hidroariete,20% de reducir un nivel la Defensa al rival.
lockon,Lock-On,User's next move will not miss the target.,锁定,紧紧瞄准对手，下次攻击必定会打中。,Fijar Blanco,El siguiente movimiento que utilice el Pokémon no fallará.
lovelykiss,Lovely Kiss,Causes the target to fall asleep.,恶魔之吻,用恐怖的脸强吻对手。让对手陷入睡眠状态。,Beso Amoroso,Provoca Sueño.
lowkick,Low Kick,More power the heavier the target.,踢倒,用力踢对手的脚，使其摔倒进行攻击。对手越重，威力越大。,Patada Baja,"Este movimiento tiene un poder base variable entre 20 y 120, en función del peso del Pokémon rival."
lowsweep,Low Sweep,100% chance to lower the target's Speed by 1.,下盘踢,以敏捷的动作瞄准对手的脚进行攻击。100%几率降低对手的速度1级。,Puntapié,Baja un nivel la Velocidad al rival.
luckychant,Lucky Chant,"For 5 turns, shields user's party from critical hits.",幸运咒语,向天许愿，从而在５回合内不会被对手的攻击打中要害。,Conjuro,El equipo del usuario no recibe Golpes Críticos por 5 turnos.
lunardance,Lunar Dance,"User faints. Replacement is fully healed, with PP.",新月舞,虽然自己陷入濒死，但可以治愈后备上场的宝可梦的全部HP和异常状态。,Danza Lunar,"El usuario cae debilitado. El Pokémon que salga a la batalla en su lugar ve recuperados sus PS, PP y estado alterado."
lunge,Lunge,100% chance to lower the target's Attack by 1.,猛扑,全力猛扑对手进行攻击。100%几率降低对手的攻击1级。,Plancha,100% de reducir un nivel el Ataque al rival.
lusterpurge,Luster Purge,50% chance to lower the target's Sp. Def by 1.,洁净光芒,释放耀眼的光芒进行攻击。50%几率降低对手的特防1级。,Resplandor,50% de reducir un nivel la Defensa Especial al rival.
machpunch,Mach Punch,Usually goes first.,音速拳,以迅雷不及掩耳之势出拳。必定能够先制攻击。,Ultrapuño,Golpea primero.
magicalleaf,Magical Leaf,This move does not check accuracy.,魔法叶,散落可以追踪对手的神奇叶片。攻击必定会命中。,Hoja Mágica,Siempre golpea.
magiccoat,Magic Coat,Bounces back certain non-damaging moves.,魔法反射,当对手使出会变成异常状态的招式或寄生种子等时，会将对手的招式反射回去。,Capa Mágica,"Refleja al Pokémon rival los efectos de movimientos que no causan daño (modificador, estado alterado, confusión, atracción, trampa, drenadoras, abatidoras, bilis)."
magicpowder,Magic Powder,Changes the target's type to Psychic.,魔法粉,向对手喷洒魔法粉，使对手变为超能力属性。,Magic Powder,Changes the target's type to Psychic.
magicroom,Magic Room,"For 5 turns, all held items have no effect.",魔法空间,制造出离奇的空间。在５回合内所有宝可梦携带道具的效果都会消失。,Zona Mágica,Por 5 turnos los objetos equipados por los Pokémon no surten efecto.
magmastorm,Magma Storm,Traps and damages the target for 4-5 turns.,熔岩风暴,将对手困在熊熊燃烧的火焰中，在４～５回合内进行攻击。,Lluvia Ígnea,"El Pokémon rival permanece atrapado de 4 a 5 turnos, recibiendo un daño del 12.5% del PS cada turno."
magnetbomb,Magnet Bomb,This move does not check accuracy.,磁铁炸弹,发射吸住对手的钢铁炸弹。攻击必定会命中。,Bomba Imán,Siempre golpea.
magneticflux,Magnetic Flux,"Raises Def, Sp. Def of allies with Plus/Minus by 1.",磁场操控,通过操控磁场，100%几率提高己方所有特性为正电和负电的宝可梦的防御和特防各1级。,Aura Magnética,Aumenta un nivel la Defensa y la Defensa Especial al usuario y sus aliados con la habilidad Más o Menos.
magnetrise,Magnet Rise,"For 5 turns, the user has immunity to Ground.",电磁漂浮,利用电气产生的磁力浮在空中。在５回合内可以飘浮。,Levitón,El usuario es inmune a los ataques de tipo Tierra durante 5 turnos.
magnitude,Magnitude,Hits adjacent Pokemon. Power varies; 2x on Dig.,震级,晃动地面，攻击自己周围所有的宝可梦。招式的威力会有各种变化。,Magnitud,Este movimiento tiene un poder base variable entre 10 y 150. El daño es doble si golpea a un Pokémon en mitad de una excavación.
maliciousmoonsault,Malicious Moonsault,Damage doubles if the target used Minimize.,极恶飞跃粉碎击,通过Ｚ力量得到强壮肉体的炽焰咆哮虎将全力撞向对手进行攻击。,Hiperplancha Oscura,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por Incineroar con Incinostal Z equipado.
matblock,Mat Block,Protects allies from damaging attacks. Turn 1 only.,掀榻榻米,将掀起来的榻榻米当作盾牌，防住自己和同伴免受招式伤害。变化招式无法防住。,Escudo Tatami,Evita todo daño directo y efectos de movimientos del rival para él y sus aliados. No evita movimientos de estado. Sólo puede ser utilizado el primer turno del usuario tras ser intercambiado.
maxairstream,Max Airstream,Base move affects power. Allies: +1 Speed.,极巨飞冲,极巨化宝可梦使出的飞行属性攻击。100%几率提升我方的速度1级。,Max Airstream,Base move affects power. Allies: +1 Speed.
maxdarkness,Max Darkness,Base move affects power. Foes: -1 Sp. Def.,极巨恶霸,极巨化宝可梦使出的恶属性攻击。100%几率降低对手的特防1级。,Max Darkness,Base move affects power. Foes: -1 Sp. Def.
maxflare,Max Flare,Base move affects power. Starts Sunny Day.,极巨火爆,极巨化宝可梦使出的火属性攻击。可在５回合内将天气变为大晴天。,Max Flare,Base move affects power. Starts Sunny Day.
maxflutterby,Max Flutterby,Base move affects power. Foes: -1 Sp. Atk.,极巨虫蛊,极巨化宝可梦使出的虫属性攻击。100%几率降低对手的特攻1级。,Max Flutterby,Base move affects power. Foes: -1 Sp. Atk.
maxgeyser,Max Geyser,Base move affects power. Starts Rain Dance.,极巨水流,极巨化宝可梦使出的水属性攻击。可在５回合内将天气变为降雨。,Max Geyser,Base move affects power. Starts Rain Dance.
maxguard,Max Guard,Protects user from moves & Max Moves this turn.,极巨防壁,完全抵挡对手的攻击。连续使出则容易失败。,Max Guard,Protects user from moves & Max Moves this turn.
maxhailstorm,Max Hailstorm,Base move affects power. Starts Hail.,极巨寒冰,极巨化宝可梦才能使出的冰属性攻击。在５回合内会降下冰雹。,Max Hailstorm,Base move affects power. Starts Hail.
maxknuckle,Max Knuckle,Base move affects power. Allies: +1 Attack.,极巨拳斗,极巨化宝可梦使出的格斗属性攻击。100%几率提升我方的攻击1级。,Max Knuckle,Base move affects power. Allies: +1 Attack.
maxlightning,Max Lightning,Base move affects power. Starts Electric Terrain.,极巨闪电,极巨化宝可梦使出的电属性攻击。可在５回合内将脚下变成电气场地。,Max Lightning,Base move affects power. Starts Electric Terrain.
maxmindstorm,Max Mindstorm,Base move affects power. Starts Psychic Terrain.,极巨超能,极巨化宝可梦使出的超能力属性攻击。可在５回合内将脚下变成精神场地。,Max Mindstorm,Base move affects power. Starts Psychic Terrain.
maxooze,Max Ooze,Base move affects power. Allies: +1 Sp. Atk.,极巨酸毒,极巨化宝可梦使出的毒属性攻击。100%几率提升我方的特攻1级。,Max Ooze,Base move affects power. Allies: +1 Sp. Atk.
maxovergrowth,Max Overgrowth,Base move affects power. Starts Grassy Terrain.,极巨草原,极巨化宝可梦使出的草属性攻击。可在５回合内将脚下变成青草场地。,Max Overgrowth,Base move affects power. Starts Grassy Terrain.
maxphantasm,Max Phantasm,Base move affects power. Foes: -1 Defense.,极巨幽魂,极巨化宝可梦使出的幽灵属性攻击。100%几率降低对手的防御1级。,Max Phantasm,Base move affects power. Foes: -1 Defense.
maxquake,Max Quake,Base move affects power. Allies: +1 Sp. Def.,极巨大地,极巨化宝可梦使出的地面属性攻击。100%几率提升我方的特防1级。,Max Quake,Base move affects power. Allies: +1 Sp. Def.
maxrockfall,Max Rockfall,Base move affects power. Starts Sandstorm.,极巨岩石,极巨化宝可梦使出的岩石属性攻击。可在５回合内将天气变为沙暴。,Max Rockfall,Base move affects power. Starts Sandstorm.
maxstarfall,Max Starfall,Base move affects power. Starts Misty Terrain.,极巨妖精,极巨化宝可梦使出的妖精属性攻击。可在５回合内将脚下变成薄雾场地。,Max Starfall,Base move affects power. Starts Misty Terrain.
maxsteelspike,Max Steelspike,Base move affects power. Allies: +1 Defense.,极巨钢铁,极巨化宝可梦使出的钢属性攻击。100%几率提升我方的防御1级。,Max Steelspike,Base move affects power. Allies: +1 Defense.
maxstrike,Max Strike,Base move affects power. Foes: -1 Speed.,极巨攻击,极巨化宝可梦使出的一般属性攻击。100%几率降低对手的速度1级。,Max Strike,Base move affects power. Foes: -1 Speed.
maxwyrmwind,Max Wyrmwind,Base move affects power. Foes: -1 Attack.,极巨龙骑,极巨化宝可梦使出的龙属性攻击。100%几率降低对手的攻击1级。,Max Wyrmwind,Base move affects power. Foes: -1 Attack.
meanlook,Mean Look,Prevents the target from switching out.,黑色目光,用好似要勾人心魂的黑色目光一动不动地凝视对手，使其不能从战斗中逃走。,Mal de Ojo,"Impide al rival ser intercambiado, salvo usando Relevo, Ida y Vuelta, Voltiocambio o Última Palabra, o si tiene Muda Concha o Botón Escape."
meditate,Meditate,Raises the user's Attack by 1.,瑜伽姿势,唤醒身体深处沉睡的力量，从而提高自己的攻击。,Meditación,Aumenta un nivel el Ataque al usuario.
mefirst,Me First,Copies a foe at 1.5x power. User must be faster.,抢先一步,提高威力，抢先使出对手想要使出的招式。如果不先使出则会失败。,Yo Primero,"Siempre que el usuario sea el primero en moverse y que el rival haya elegido un ataque de daño directo, el usuario copia el ataque del rival y le golpea con su poder al 150%."
megadrain,Mega Drain,User recovers 50% of the damage dealt.,超级吸取,吸取对手的养分进行攻击。可以回复给予对手伤害的一半ＨＰ。,Megaagotar,El usuario recupera PS equivalente a la mitad del daño causado.
megahorn,Megahorn,No additional effect.,超级角击,用坚硬且华丽的角狠狠地刺入对手进行攻击。,Megacuerno,Ninguno.
megakick,Mega Kick,No additional effect.,百万吨重踢,使出力大无穷的重踢踢飞对手进行攻击。,Megapatada,Ninguno.
megapunch,Mega Punch,No additional effect.,百万吨重拳,用充满力量的拳头攻击对手。,Megapuño,Ninguno.
memento,Memento,"Lowers target's Attack, Sp. Atk by 2. User faints.",临别礼物,虽然会使自己陷入濒死，但是有100%几率能够低对手的攻击和特攻各2级。,Legado,El usuario se debilita. Baja dos niveles el Ataque y el Ataque Especial del rival.
menacingmoonrazemaelstrom,Menacing Moonraze Maelstrom,Ignores the Abilities of other Pokemon.,月华飞溅落云霄,得到Ｚ力量的露奈雅拉将全力进行攻击。可以无视对手的特性效果。,Deflagración Lunar,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por Lunala con Lunalastal Z equipado. Ignora las habilidades de los Pokémon en juego.
metalburst,Metal Burst,"If hit by an attack, returns 1.5x damage.",金属爆炸,使出招式前，将最后受到的招式的伤害大力返还给对手。,Represión Metal,Causa un daño equivalente al 150% del daño causado por el ataque del rival ese turno. Debe ser utilizado después del ataque del rival.
metalclaw,Metal Claw,10% chance to raise the user's Attack by 1.,金属爪,用钢铁之爪劈开对手进行攻击。10%几率提高自己的攻击1级。,Garra Metal,10% de aumentar un nivel el Ataque al usuario.
metalsound,Metal Sound,Lowers the target's Sp. Def by 2.,金属音,让对手听摩擦金属般讨厌的声音。大幅降低对手的特防。,Eco Metálico,Baja dos niveles la Defensa Especial al rival.
meteorassault,Meteor Assault,User cannot move next turn.,流星突击,攻击目标造成伤害。下一回合自己将无法动弹。,Meteor Assault,User cannot move next turn.
meteorbeam,Meteor Beam,Raises user's Sp. Atk by 1 on turn 1. Hits turn 2.,流星光束,第一回合进行蓄力，同时令使用者的特攻提升1级，第二回合发动攻击。,Meteor Beam,Raises user's Sp. Atk by 1 on turn 1. Hits turn 2.
meteormash,Meteor Mash,20% chance to raise the user's Attack by 1.,彗星拳,攻击目标造成伤害。20%几率令使用者的攻击提升1级。,Puño Meteoro,20% de aumentar un nivel el Ataque al usuario.
metronome,Metronome,Picks a random move.,挥指,在所有招式中随机选择1个招式并使用。,Metrónomo,Usa un movimiento al azar.
milkdrink,Milk Drink,Heals the user by 50% of its max HP.,喝牛奶,恢复使用者的50%的ＨＰ值。,Batido,El usuario recupera el 50% de su PS máximo.
mimic,Mimic,The last move the target used replaces this one.,模仿,招式替换为目标最后使用的招式，ＰＰ改变为5。,Mimético,Este movimiento se ve sustituido por el último ataque utilizado por el Pokémon rival (con 5 PP) por el resto de la batalla o hasta su intercambio.
mindblown,Mind Blown,User loses 50% max HP. Hits adjacent Pokemon.,惊爆大头,攻击目标造成伤害。使用者的ＨＰ减少最大ＨＰ的一半。,Cabeza Sorpresa,El usuario recibe un daño equivalente al 50% de su PS máximo.
mindreader,Mind Reader,User's next move will not miss the target.,心之眼,用心感受对手的行动，下次攻击必定会击中对手。,Telépata,El siguiente movimiento que utilice el Pokémon no fallará.
minimize,Minimize,Raises the user's evasiveness by 2.,变小,令使用者的闪避率提升2级。,Reducción,"Aumenta dos niveles la Evasión. El Pokémon recibe el doble de daño de Pisotón y Rodillo de Púas, que no ven reducida su precisión."
miracleeye,Miracle Eye,Psychic hits Dark. Evasiveness ignored.,奇迹之眼,对恶属性宝可梦没有效果的招式以及闪避率高的对手，使用后变得能够打中。,Gran Ojo,"Mientras el usuario siga en batalla, se ignoran los modificadores de Evasión del rival y de Precisión del usuario. Anula la inmunidad del tipo Siniestro frente al tipo Psíquico."
mirrorcoat,Mirror Coat,"If hit by special attack, returns double damage.",镜面反射,造成使用者上一次受到的特殊伤害×2的固定伤害。,Manto Espejo,"Si el usuario es golpeado por un ataque especial el mismo turno en que usa este movimiento, le devolverá al atacante el doble del daño recibido."
mirrormove,Mirror Move,User uses the target's last used move against it.,鹦鹉学舌,使用目标最后使用过的招式。,Mov. Espejo,Usa el último movimiento que ha utilizado el Pokémon rival.
mirrorshot,Mirror Shot,30% chance to lower the target's accuracy by 1.,镜光射击,攻击目标造成伤害。30%几率令目标的命中率降低1级。,Disparo Espejo,30% de reducir un nivel la Precisión al rival.
